RegionID	SizeRank	RegionName	RegionType	StateName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
394998	25	Portland, OR	msa	OR	177643.04520655007	182843.59132334523	190525.93681759422	199804.56854825607	214735.293949027	244804.25673972012	293744.7619598331	313517.49539392313	299962.8849764726	268236.58826247824	254004.33452750908	232374.03380870505	226929.62403858104	251704.09266342243	277536.22507955297	305516.56804974994	347502.3462565813	379269.7273131008	400942.5732481233	412726.6933567718	498274.3141714972	551871.124809835	539615.5014955946
395045	26	Sacramento, CA	msa	CA	173982.25526187642	204543.54637468094	235228.82735750894	276287.1890519681	327389.84733394237	402178.28771581623	428427.7915300156	385155.75936172064	308730.3339436001	255072.8581236844	238254.48934439247	217949.36399544482	212459.44096401133	258610.15502567287	298445.91696595825	321508.59909440804	349991.7504634342	380615.6674961751	411097.7742588585	425593.4203687498	522322.93482639175	582170.2600433287	557278.324842218
394982	27	Pittsburgh, PA	msa	PA	75765.37198953128	79724.19959419286	84036.67311229701	88442.86070484926	92288.66673767813	96978.88057998591	100629.27028186976	102524.61576569348	103826.69196576811	103799.35554955526	107848.9507785728	106582.10356188781	107588.74417946873	111050.79496305162	116037.41483643682	121914.35537591443	127336.56325107208	132765.34249401928	140443.15703136506	146819.49811869094	179875.5800011244	192344.4673088483	193314.95847316334
394466	28	Cincinnati, OH	msa	OH	118095.93935238801	123491.98668442738	128082.75688070779	132941.66982606472	137734.22775432887	142088.10725496607	146047.27360982596	145881.85321160487	142443.22185604315	134279.3096873508	134060.2644451522	126413.3125086024	124564.35499053402	129568.95374645553	135799.3968128872	142043.58086213033	150837.36741128654	160336.68289781068	170645.17239092608	182271.1323646937	226920.28767774568	252031.78966241993	257721.0210691934
394355	29	Austin, TX	msa	TX	173113.13463298907	178258.85410855312	177845.97221406383	177417.11219232084	180870.43019889202	187331.61624789765	193099.1930176626	200883.73129570507	204150.62679971204	197277.55635975246	194901.9718125663	188603.44831201897	192530.78315276062	210489.54698047787	235273.41605639728	261133.8817382319	282378.31387675036	297758.341368836	309214.2072526196	319893.0306513773	431046.7839563932	511480.0808836235	487002.22309319704
394775	30	Las Vegas, NV	msa	NV	163050.33489504075	172674.31511074145	183616.40901091511	198523.87188782697	251493.5730742529	323924.7953373732	344630.837540727	330135.4511779087	254200.00276555898	174506.577147583	146592.69451887492	132830.94027994914	130424.27841814556	163424.720270052	194275.31269920862	209207.31359199548	223820.84830657425	245839.41092328285	281947.02684979996	301709.15122415865	352752.27420764207	415090.63158557675	401716.38966775866
394735	31	Kansas City, MO	msa	MO	108793.55319685616	116323.16732982523	123183.98147986962	128568.97830755795	133229.26547320516	137490.91004558915	142282.57088005784	145546.00043958062	144217.28221389875	140142.6362209798	138303.08079391226	130535.44708181852	127945.44646602157	133023.86972335257	140244.94515842036	148809.56832631517	160653.10899470845	174132.2064171472	188360.6278875674	199264.16001342915	245567.02551101355	274510.3078615779	281793.6752680864
394492	32	Columbus, OH	msa	OH	125327.51874472784	130666.38347280027	135942.70437933094	141540.4036000535	146332.87179250157	151246.73479627378	154050.08891879683	152696.04858792518	148747.14500338782	142697.88188987502	140311.77708631428	134437.8147362758	130528.51426411005	135333.7187687365	145014.05282066684	154983.98590142222	165353.4102077562	175870.6848389184	189464.45012714318	203193.79292947557	251509.92035528613	284359.2260262714	291303.55089148734
394705	34	Indianapolis, IN	msa	IN				114182.17455541743	116496.1554994732	122242.67020354616	124961.69254021447	126588.25620751029	125977.05707491987	122905.20211095335	122967.03440734402	117883.82293711895	117911.76267535654	121527.30695336958	128417.69914904435	133993.90367821266	141300.26777593532	151033.8579410575	163144.30458947268	174794.5108866983	224556.67728434026	259789.61203388995	263632.3000170073
394475	35	Cleveland, OH	msa	OH	115276.18498641341	120508.5394484708	124021.99418811174	127982.76991012022	133147.15998530714	137419.12111933494	140089.20713323783	137062.2944774501	130895.76456654684	123157.48189999915	119300.18198594503	112233.89512083272	109814.56457213174	113736.16985816932	116398.69249998324	120735.47545372375	127586.25446657169	134655.16273139263	142451.63116118594	150309.12015773533	181649.71887715918	199737.0707519234	205472.04377147774
