_id	Population_Rank	Region	RegionType	State	0	HouseCost-01	HouseCost-02	HouseCost-03	HouseCost-04	HouseCost-05	HouseCost-06	HouseCost-07	HouseCost-08	HouseCost-09	HouseCost-10	HouseCost-11	HouseCost-12	HouseCost-13	HouseCost-14	HouseCost-15	HouseCost-16	HouseCost-17	HouseCost-18	HouseCost-19	HouseCost-20	HouseCost-21	HouseCost-22
394876	628	Montrose, CO	msa	CO	126918.25806781038	136204	141727	145474	151270	159397	189790	200801	200381	196584	190898	185902	188894	197066	205376	219455	239753	257391	279770	299434	375195	434490	436946
394504	629	Cortland, NY	msa	NY	64648.883345768416	69480	75476	81540	90436	98935	106267	115718	117644	110797	108065	106233	106178	107315	108836	110740	116010	119033	123505	127984	152074	167400	170275
394887	630	Mount Sterling, KY	msa	KY	66173.18241746763	71662	74773	79259	84466	85388	84047	85868	86324	85438	85725	81127	83093	83765	88037	94041	100154	99061	105518	108247	127323	142627	149449
394477	631	Clinton, IA	msa	IA	0.0	0	0	0	0	0	0	0	0	73960	73616	73904	76177	78683	84211	90408	95765	97881	105177	113305	131616	145053	148767
753916	632	Sandpoint, ID	msa	ID	0.0	0	0	0	0	0	0	0	0	223188	200195	183835	182748	194102	216235	234521	260198	281561	308083	335525	508465	610713	568284
753865	633	Bardstown, KY	msa	KY	88011.2583238058	92531	95807	99579	104038	109091	112473	115165	115924	114604	113600	109494	109925	110354	121599	128374	132600	141934	151209	156786	196615	223791	229555
395201	634	Wapakoneta, OH	msa	OH	0.0	0	0	0	0	0	0	0	0	117213	115816	113851	111956	112498	116153	119594	123603	128756	134797	141522	167774	184957	188845
394987	635	Plymouth, IN	msa	IN	89974.9146687939	94403	96835	98866	101989	105764	108254	110909	112004	110692	108982	107767	107829	111107	115323	120532	125856	129196	137270	144263	185146	209494	213718
394789	636	Lewistown, PA	msa	PA	0.0	0	0	0	0	0	0	0	0	0	0	0	85652	86863	87233	86372	92051	95926	101731	106752	131790	144719	152822
394379	637	Bemidji, MN	msa	MN	0.0	0	0	0	0	0	0	0	0	145628	128766	112443	115896	130471	132496	134159	141161	145194	150447	159042	191865	218903	223667
394377	638	Bellefontaine, OH	msa	OH	0.0	93236	95527	98650	102299	106051	106705	105979	104409	101057	98120	95832	96491	102551	111749	119757	125835	130539	136207	144842	182853	198716	202500
395087	639	Seymour, IN	msa	IN	0.0	0	0	0	0	0	0	0	106601	105936	103341	101826	103842	108763	112329	118667	123293	128693	134474	141078	173003	191129	194100
394426	640	Burley, ID	msa	ID	0.0	0	0	0	0	0	0	0	0	127373	119876	112039	115462	120978	125226	130347	138880	152488	168176	182686	248547	295095	297864
394548	641	Durant, OK	msa	OK	64668.1422662781	68634	71580	74062	77316	81351	85389	89297	92900	89586	88717	88957	91454	94385	98385	100837	108618	112235	121640	129488	167607	194539	202948
394883	642	Moultrie, GA	msa	GA	49440.887950320895	53751	56842	58719	61039	64386	67780	70422	70207	67013	62759	59364	59125	62223	62801	63475	65055	65481	69712	73921	90069	99851	99252
