_id	costavg_2001	costavg_2002	costavg_2003	costavg_2004	costavg_2005	costavg_2006	costavg_2007	costavg_2008	costavg_2009	costavg_2010	costavg_2011	costavg_2012	costavg_2013	costavg_2014	costavg_2015	costavg_2016	costavg_2017	costavg_2018	costavg_2019	costavg_2020	costavg_2021	costavg_2022	populationrank	hlocation	us_state
395227	0	0	0	0	0	0	0	0	142054	149653	155866	180038	219029	239711	266256	244816	232234	220428	232627	261258	273074	278322	715	Williston, ND	ND
394526	94646	97442	99858	103257	106493	105701	103880	102074	98638	95527	94186	96005	102655	106570	107674	111816	113192	117595	123118	145338	157364	159488	716	Defiance, OH	OH
395099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92881	99812	106968	108698	122026	128770	130376	717	Sikeston, MO	MO
395046	93766	97687	101512	111632	138765	163006	161133	143817	121252	106177	96299	103434	123323	134609	141921	144944	149395	154288	169123	214194	237595	242020	718	Safford, AZ	AZ
394715	0	0	0	0	80362	83389	83921	81658	77657	74268	71945	72497	69077	74244	76227	81314	83121	83005	84937	93030	95271	96918	719	Jacksonville, IL	IL
394300	56014	57757	59592	61425	64328	67183	70564	75154	77944	82017	80559	78224	77382	79356	84096	86177	84669	91474	91738	131043	153986	162628	720	Ada, OK	OK
394422	0	0	0	0	0	0	0	0	96288	95056	93870	94183	93361	96798	100199	102383	102973	110572	117933	144510	163330	163563	721	Brownwood, TX	TX
394507	0	0	0	0	0	0	0	0	94787	92948	91713	91580	92249	95616	101396	106297	112489	119920	128743	162850	187530	190386	722	Crawfordsville, IN	IN
394801	0	0	0	0	0	0	0	0	0	0	0	65865	66637	67661	69657	73670	77848	84244	91520	115899	129172	132359	723	Logansport, IN	IN
395072	0	0	0	0	0	0	0	0	104061	101236	99619	102103	103587	107000	111365	114751	116818	121362	126070	143526	158104	165690	724	Scottsbluff, NE	NE
394904	0	0	0	0	0	0	0	0	0	0	0	0	0	113029	115034	114108	113707	116481	121654	133488	139727	139228	725	Natchitoches, LA	LA
394914	0	0	0	0	0	0	0	0	88658	86540	84505	84755	86897	91443	96916	102782	104148	107950	114598	154941	170320	175594	726	Newberry, SC	SC
394799	0	0	0	0	0	0	0	0	115278	113017	105114	107034	108776	113028	117271	121045	125690	128212	131870	151612	167646	169364	727	Lock Haven, PA	PA
394451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59538	59144	59653	56115	72708	79828	81333	728	Centralia, IL	IL
394554	196020	213446	237072	283120	329562	377587	372580	354842	323330	303194	289876	265187	270051	278279	285531	292544	299913	309231	317572	382528	421621	423606	729	Easton, MD	MD
394948	0	0	0	0	0	0	0	0	140435	133763	128414	129158	134997	142372	147480	154949	164884	174012	184184	226811	251081	251259	730	Owatonna, MN	MN
394888	0	0	0	0	0	0	0	0	63485	62372	61513	64304	81462	100445	110216	94002	69594	65499	66428	74072	80943	87893	731	Mount Vernon, IL	IL
394771	0	0	0	0	0	0	0	0	201635	196115	193553	201221	208500	210133	219455	226479	233798	236782	249052	294303	328694	339839	733	Laramie, WY	WY
394894	27451	28297	29504	31286	33476	35266	37038	37990	38199	38564	39433	42176	43210	45228	43670	45156	54756	69801	56550	96958	122042	140381	734	Murray, KY	KY
394617	0	0	0	0	0	0	0	0	96873	96001	94691	96615	98046	104525	111033	117129	126091	141521	149545	177464	201087	206067	735	Fremont, NE	NE
394382	108111	116474	126390	143433	163325	177490	182470	181081	177673	176108	174257	176642	185530	188004	192140	190148	197956	207994	213065	260053	301975	311945	736	Bennington, VT	VT
395069	0	0	0	0	0	0	0	0	97507	94472	92401	94516	98246	101047	99267	95550	88125	92057	113853	131191	136243	142228	738	Sault Ste. Marie, MI	MI
394436	0	0	0	0	0	0	0	0	74873	73679	71891	73085	75560	79936	82675	86896	93532	98518	99898	125771	149799	157561	739	Campbellsville, KY	KY
394550	76239	77370	76923	72273	76216	82061	82643	81991	78920	75766	73383	73556	74614	77169	81053	86433	87739	93062	100720	115558	124287	126949	740	Dyersburg, TN	TN
394573	0	0	0	0	0	0	0	0	0	0	66627	70533	77288	77712	79541	83071	87562	93331	97377	116951	128332	131670	742	Escanaba, MI	MI
394840	0	0	61405	61488	63595	65180	66529	67364	67812	67548	67097	67452	67275	68991	73662	76667	80063	86732	89909	113724	131928	142305	743	Mayfield, KY	KY
394745	220476	235380	252715	275024	313945	343111	350841	333081	315421	292884	276147	276039	292316	297338	300459	309880	323620	336486	349835	436044	536941	554358	744	Kill Devil Hills, NC	NC
395137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108048	117018	129529	140226	183738	205466	210727	745	Sulphur Springs, TX	TX
394702	0	0	0	137262	144432	148784	147248	140807	131614	123710	116800	117543	131576	141920	152903	163186	174030	179776	187954	226747	254659	256501	746	Hutchinson, MN	MN
394506	0	0	0	0	0	0	0	0	73072	71332	69463	70742	76410	78919	82772	87095	89097	91954	100235	123780	140008	143539	747	Coshocton, OH	OH
394696	0	0	0	0	0	0	0	0	88286	86027	84192	84586	88310	91772	96062	101408	104667	111072	117545	143864	160920	165614	748	Huntington, IN	IN
394522	0	0	0	0	0	0	0	0	0	0	0	71786	78977	82317	92311	96533	107703	115002	126038	138831	131978	132588	749	DeRidder, LA	LA
